,hombres,mujeres,total
1,"151,287","144,119","295,406"
2,"156,253","148,909","305,162"
3,"155,984","149,816","305,800"
4,"159,309","154,127","313,436"
5,"149,426","151,765","301,191"
6,"133,018","138,489","271,507"
7,"126,164","136,661","262,825"
8,"124,421","140,428","264,849"
9,"116,278","134,536","250,814"
10,"107,736","125,384","233,120"
11,"106,091","123,825","229,916"
12,"87,131","101,752","188,883"
13,"74,276","86,288","160,564"
14,"60,982","73,299","134,281"
15,"47,461","59,209","106,670"
16,"35,996","47,082","83,078"
17,"22,697","30,705","53,402"
18,"19,067","28,639","47,706"
Total,"1,833,577","1,975,033","3,808,610"
